key,sourceKind,sex,visualRace,age,style,lineage,row,column,relativePath,sourceSheet,imageWidth,imageHeight
rw-guest-custom01-r01-a10,guest,Female,fair,10,custom01,guest-custom01-row-01,1,1,assets/ravenwood/portraits/guest/guest_female_fair_age10_custom01_r01_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r01-a16,guest,Female,fair,16,custom01,guest-custom01-row-01,1,2,assets/ravenwood/portraits/guest/guest_female_fair_age16_custom01_r01_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r01-a24,guest,Female,fair,24,custom01,guest-custom01-row-01,1,3,assets/ravenwood/portraits/guest/guest_female_fair_age24_custom01_r01_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,195,353
rw-guest-custom01-r01-a30,guest,Female,fair,30,custom01,guest-custom01-row-01,1,4,assets/ravenwood/portraits/guest/guest_female_fair_age30_custom01_r01_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r01-a50,guest,Female,fair,50,custom01,guest-custom01-row-01,1,5,assets/ravenwood/portraits/guest/guest_female_fair_age50_custom01_r01_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r02-a10,guest,Male,olive,10,custom01,guest-custom01-row-02,2,1,assets/ravenwood/portraits/guest/guest_male_olive_age10_custom01_r02_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r02-a16,guest,Male,olive,16,custom01,guest-custom01-row-02,2,2,assets/ravenwood/portraits/guest/guest_male_olive_age16_custom01_r02_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r02-a24,guest,Male,olive,24,custom01,guest-custom01-row-02,2,3,assets/ravenwood/portraits/guest/guest_male_olive_age24_custom01_r02_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,195,353
rw-guest-custom01-r02-a30,guest,Male,olive,30,custom01,guest-custom01-row-02,2,4,assets/ravenwood/portraits/guest/guest_male_olive_age30_custom01_r02_c04.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r02-a50,guest,Male,olive,50,custom01,guest-custom01-row-02,2,5,assets/ravenwood/portraits/guest/guest_male_olive_age50_custom01_r02_c05.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,353
rw-guest-custom01-r03-a10,guest,Female,black,10,custom01,guest-custom01-row-03,3,1,assets/ravenwood/portraits/guest/guest_female_black_age10_custom01_r03_c01.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,352
rw-guest-custom01-r03-a16,guest,Female,black,16,custom01,guest-custom01-row-03,3,2,assets/ravenwood/portraits/guest/guest_female_black_age16_custom01_r03_c02.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,194,352
rw-guest-custom01-r03-a24,guest,Female,black,24,custom01,guest-custom01-row-03,3,3,assets/ravenwood/portraits/guest/guest_female_black_age24_custom01_r03_c03.png,assets/ravenwood/guest_portraits/sheets/ChatGPT Image 2026. júl. 19. 10_12_36 (8).png,195,352
